절창,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371723601,"<span class=""ss_p2""><em>16,200원</em></span>","<span class=""star_score"">7.8</span>"
나도 상처 받지 않고 친구도 상처 받지 않는 감정 표현 연습,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=386057195,"<span class=""ss_p2""><em>13,500원</em></span>","<span class=""star_score"">10.0</span>"
잠과 영혼,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387510933,"<span class=""ss_p2""><em>18,000원</em></span>","<span class=""star_score"">10.0</span>"
매일 아침 나는 텃밭에 간다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388028283,"<span class=""ss_p2""><em>16,650원</em></span>","<span class=""star_score"">10.0</span>"
2026 해커스 GSAT 삼성직무적성검사 통합 기본서 최신기출유형 + 실전모의고사 (수리/추리),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=382428618,"<span class=""ss_p2""><em>21,600원</em></span>","<span class=""star_score"">10.0</span>"
마음을 읽는 감각,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=384025573,"<span class=""ss_p2""><em>17,820원</em></span>","<span class=""star_score"">9.9</span>"
믹스 MIX 24,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388137308,"<span class=""ss_p2""><em>5,400원</em></span>",
김재우의 기초 영어회화 100,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=353238637,"<span class=""ss_p2""><em>17,010원</em></span>","<span class=""star_score"">9.5</span>"
불안,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=14350678,"<span class=""ss_p2""><em>16,200원</em></span>","<span class=""star_score"">8.6</span>"
이기적 유전자,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=170482558,"<span class=""ss_p2""><em>18,000원</em></span>","<span class=""star_score"">8.3</span>"
봇치·더·록! 앤솔러지 코믹 5,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388138167,"<span class=""ss_p2""><em>8,100원</em></span>",
윈드 브레이커 13~14 세트 - 전2권,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388084953,"<span class=""ss_p2""><em>10,800원</em></span>","<span class=""star_score"">10.0</span>"
느슨한 균형,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388433787,"<span class=""ss_p2""><em>17,100원</em></span>",
너를 기다릴 시간에 나를 사랑하기로 했다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=386993309,"<span class=""ss_p2""><em>17,550원</em></span>","<span class=""star_score"">9.9</span>"
살찌지 않는 몸,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387584786,"<span class=""ss_p2""><em>17,820원</em></span>","<span class=""star_score"">10.0</span>"
이토록 위대한 몸,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387058373,"<span class=""ss_p2""><em>21,600원</em></span>","<span class=""star_score"">10.0</span>"
돈의 심리학 (50만 부 기념 뉴 에디션),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=383315006,"<span class=""ss_p2""><em>22,320원</em></span>","<span class=""star_score"">8.7</span>"
쓰는 만큼 내가 된다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385928518,"<span class=""ss_p2""><em>16,200원</em></span>","<span class=""star_score"">9.5</span>"
쿄코와 아버지,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388140104,"<span class=""ss_p2""><em>7,200원</em></span>","<span class=""star_score"">10.0</span>"
GACHIAKUTA 16,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387708173,"<span class=""ss_p2""><em>5,400원</em></span>",
인류학자처럼 생각하는 법,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388048442,"<span class=""ss_p2""><em>23,400원</em></span>",
미국은 왜 전쟁을 멈추지 못하는가,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387052261,"<span class=""ss_p2""><em>22,500원</em></span>","<span class=""star_score"">10.0</span>"
정반대의 너와 나 8 (더블특전판),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388016385,"<span class=""ss_p2""><em>5,400원</em></span>","<span class=""star_score"">10.0</span>"
쾌적한 사회의 불쾌함,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=384909081,"<span class=""ss_p2""><em>18,900원</em></span>","<span class=""star_score"">9.4</span>"
"2026 큰별쌤 최태성의 별★별한국사 기출 500제 한국사능력검정시험 심화 (1, 2, 3급)",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=379922349,"<span class=""ss_p2""><em>19,800원</em></span>",
뇌는 어떻게 나를 조종하는가,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=382658617,"<span class=""ss_p2""><em>16,920원</em></span>","<span class=""star_score"">9.2</span>"
그 레벨에 잠이 오니?,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=380803734,"<span class=""ss_p2""><em>13,500원</em></span>","<span class=""star_score"">9.9</span>"
규칙파괴자,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=383443242,"<span class=""ss_p2""><em>22,500원</em></span>","<span class=""star_score"">10.0</span>"
내 이름은 빨강 2,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=214245188,"<span class=""ss_p2""><em>11,700원</em></span>","<span class=""star_score"">8.8</span>"
아오노 군에게 닿고 싶으니까 죽고 싶어 13,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=386453675,"<span class=""ss_p2""><em>4,950원</em></span>","<span class=""star_score"">9.6</span>"
오해하면 큰일 나는 한자어 천재라면,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387523767,"<span class=""ss_p2""><em>13,950원</em></span>","<span class=""star_score"">10.0</span>"
딱 1년만 미쳐라,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387529431,"<span class=""ss_p2""><em>17,820원</em></span>","<span class=""star_score"">10.0</span>"
더 시스템,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=330399601,"<span class=""ss_p2""><em>16,200원</em></span>","<span class=""star_score"">8.9</span>"
집중력 죽이기,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387886783,"<span class=""ss_p2""><em>17,100원</em></span>","<span class=""star_score"">8.0</span>"
사랑이 있으니 살아집디다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388509769,"<span class=""ss_p2""><em>16,200원</em></span>","<span class=""star_score"">10.0</span>"
백귀야행 31,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387062834,"<span class=""ss_p2""><em>7,200원</em></span>","<span class=""star_score"">10.0</span>"
쉽게 읽고 보는 위대한 실패 도감,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385792153,"<span class=""ss_p2""><em>11,700원</em></span>","<span class=""star_score"">9.7</span>"
냉동 집밥 대백과,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=375933095,"<span class=""ss_p2""><em>20,520원</em></span>","<span class=""star_score"">9.7</span>"
도나츠와 서커스 1~2 완결 스페셜 세트 - 전2권,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388015005,"<span class=""ss_p2""><em>32,400원</em></span>",
흔한남매 21,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=379389382,"<span class=""ss_p2""><em>15,120원</em></span>","<span class=""star_score"">10.0</span>"
가브리엘의 잉글리시 다이어리,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=373227355,"<span class=""ss_p2""><em>24,300원</em></span>","<span class=""star_score"">10.0</span>"
2026 문동균 한국사 D-30 문단속 모의고사,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=386005124,"<span class=""ss_p2""><em>14,400원</em></span>",
루이즈 미셸 회고록,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385970959,"<span class=""ss_p2""><em>19,800원</em></span>","<span class=""star_score"">10.0</span>"
내 심장을 쏴라,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385201611,"<span class=""ss_p2""><em>16,200원</em></span>","<span class=""star_score"">8.9</span>"
이게 되네? 제미나이 완전 미친 활용법 81제,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385348854,"<span class=""ss_p2""><em>21,600원</em></span>","<span class=""star_score"">9.8</span>"
킬리만자로의 눈,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=355736229,"<span class=""ss_p2""><em>12,600원</em></span>","<span class=""star_score"">10.0</span>"
슈퍼 뒤에서 담배 피우는 두 사람 7,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388083662,"<span class=""ss_p2""><em>5,850원</em></span>",
카구라바치 9 (특별판),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388349538,"<span class=""ss_p2""><em>35,550원</em></span>",
할매,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=379665189,"<span class=""ss_p2""><em>15,120원</em></span>","<span class=""star_score"">9.2</span>"
내가 돈을 벌고 있다는 착각,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387056547,"<span class=""ss_p2""><em>17,820원</em></span>","<span class=""star_score"">9.4</span>"
